Nombre,Twitter_ID,Genero,Something,Partido,Ciudad
Alberto Breccia,BrecciaAlberto,H,,Frente Amplio,Uruguay
Victor Semproni,VictorSemproniR,H,,Frente Amplio,Canelones
Carlos Enciso,CEnciso62,H,,Nacional,Florida
Sebastián Sabini,tatisabini,H,,Frente Amplio,Canelones
José Carlos Mahia,JoseCarlosMahia,H,,Frente Amplio,Canelones
Mónica Xavier,EsMonicaFA,M,,Frente Amplio,Uruguay
Ernesto Agazzi,flacoagazzi,H,,Frente Amplio,Uruguay
Alianza Joven,JuventudAlianza,NA,,Nacional,Uruguay
Interacción Olesker,interolesker,NA,,Frente Amplio,Uruguay
Lista 404 Montevideo,lista404,NA,,Nacional,Montevideo
Alberto Casas,CasasAlberto4,H,,Nacional,San José
Carlos Silva Rattin,50carlossilva,H,,Nacional,Salto
Tabaré Viera,Tabareviera,H,,Colorado,Uruguay
Edison Casulo,ecasulo,H,,Nacional,Montevideo
María Elena Laurnaga,marialaurnaga,M,,Frente Amplio,Montevideo
Daisy Tourné,DipDaisy,M,,Frente Amplio,Montevideo
Concordia Naciona,Concordia_Nac,NA,,Nacional,Uruguay
Christian Nuñez,EdilNunez71,H,,Nacional,Montevideo
Lista 2014_66,Lista2014_66_PN,NA,,Nacional,Uruguay
Ni me callo ni me voy,nimcallonimvoy,NA,,Nacional,Montevideo
Juventud Ni me callo ni me voy,Juventudnmcnmv,NA,,Nacional,Uruguay
Lista 111,LaCiento_Once,NA,,Nacional,Montevideo
Juventud de la 40,Juventud40,NA,,Nacional,Uruguay
Ney Castillo,NeyCastillo9,H,,Colorado,Montevideo
Stephanie Braga,stephybraga,M,,Nacional,Maldonado
Tabaré Vázquez 2014,Tabare2014,,NA,,Frente Amplio,Uruguay
Adriana Balcarcel,adrianaedila,M,,Nacional,Montevideo
Elena Lancaster,elancaster400,M,,Nacional,Canelones
Ana Carolina Murphy,AnaCaro71,M,,Nacional,Montevideo
Alejandro Repetto,alerepetto400,H,,Nacional,Canelones
Miguel Di Ruocco,Diruocco71,H,,Nacional,Montevideo
Nueva generación4004,nueva_78,NA,,Nacional,Montevideo
Propuesta Batllista,ProBatllista,NA,,Colorado,Uruguay
La Veintidos,lalista22,NA,,Colorado,Florida
Sergio Acuña,seracu17,H,,Colorado,Salto
Mujeres Batllistas,mujeresbat,NA,,Colorado,Uruguay
Vamos Ahora,lista1011,NA,,Colorado,Uruguay
Juan Augusto Corujo,juanaugustocoru,H,,Colorado,Florida
