user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
jasonaltmire,official,PA,d,House Representative,Jason,Altmire,"",""
BradSherman,official,CA,d,House Representative,Brad,Sherman,,
BuckMcKeon,official,CA,r,House Representative,Buck,McKeon,"",""
JeanneShaheen,campaign,NH,d,Senator,Jeanne,Shaheen,"",""
Raul_Labrador,official,ID,r,House Representative,Raúl,Labrador,R.,
RepSires,official,NJ,d,House Representative,Albio,Sires,"",""
repjohnlewis,official,GA,d,House Representative,John,Lewis,"",""
USRepMikeDoyle,official,PA,d,House Representative,Mike,Doyle,,
RepKevinBrady,official,TX,r,House Representative,Kevin,Brady,"",""
Heck4Nevada,campaign,NV,r,House Representative,Joe,Heck,"",""
JudgeCarter,official,TX,r,House Representative,John,Carter,,
SenatorBoxer,official,CA,d,Senator,Barbara,Boxer,,
RepMikeRoss,official,AR,d,House Representative,Mike,Ross,"",""
ToddRokita,official,IN,r,House Representative,Todd,Rokita,,
mauricehinchey,official,NY,d,House Representative,Maurice,Hinchey,,
senrobportman,campaign,OH,r,Senator,Rob,Portman,"",""
janschakowsky,official,IL,d,House Representative,Jan,Schakowsky,"",""
TX20CharlieG,official,TX,d,House Representative,Charlie,Gonzalez,"",""
jasoninthehouse,official,UT,r,House Representative,Jason,Chaffetz,"",""
jahimes,official,CT,d,House Representative,Jim,Himes,"",""
SenMarkey,official,MA,d,Senator,Ed,Markey,,
RepDold,official,IL,r,House Representative,Robert,Dold,J.,""
congbillposey,official,FL,r,House Representative,Bill,Posey,"",""
RepJoeBarton,official,TX,r,House Representative,Joe,Barton,"",""
RepPeteOlson,official,TX,r,House Representative,Pete,Olson,,
boblatta,official,OH,r,House Representative,Bob,Latta,G.,""
ConawayTX11,official,TX,r,House Representative,Mike,Conaway,,
SenatorCollins,official,ME,r,Senator,Susan,Collins,"",""
RepLynnWoolsey,official,CA,d,House Representative,Lynn,Woolsey,"",""
frankguinta,campaign,NH,r,House Representative,Frank,Guinta,"",""
RepCuellar,official,TX,d,House Representative,Henry,Cuellar,"",""
RepRichardHanna,official,NY,r,House Representative,Richard,Hanna,,
RandyNeugebauer,official,TX,r,House Representative,Randy,Neugebauer,"",""
BobbyScott,official,VA,d,House Representative,Bobby,Scott,"",""
USRepAlexander,official,LA,r,House Representative,Rodney,Alexander,,
RandyHultgren,campaign,IL,r,House Representative,Randy,Hultgren,"",""
JudyBiggert,official,IL,r,House Representative,Judy,Biggert,,
SenSherrodBrown,official,OH,d,Senator,Sherrod,Brown,"",""
LuisGutierrez,campaign,IL,d,House Representative,Luis,Gutierrez,"",""
RepGaryMiller,official,CA,r,House Representative,Gary,Miller,"",""
RosLehtinen,official,FL,r,House Representative,Ileana,Ros-Lehtinen,"",""
JimInhofe,campaign,OK,r,Senator,Jim,Inhofe,"",""
RepMaxineWaters,official,CA,d,House Representative,Maxine,Waters,,
SenSanders,official,VT,i,Senator,Bernard,Sanders,"""Bernie""",
rodneyfornj,campaign,NJ,r,House Representative,Rodney,Frelinghuysen,"",""
jerrymcnerney,campaign,CA,d,House Representative,Jerry,McNerney,"",""
RepYvetteClarke,official,NY,d,House Representative,Yvette,Clarke,D.,
TheLugarCenter,official,IN,r,Senator,Richard,Lugar,"""Dick""",""
RepTimHolden,official,PA,d,House Representative,Tim,Holden,,
Jim_Moran,official,VA,d,House Representative,Jim,Moran,"",""
SenatorCantwell,official,WA,d,Senator,Maria,Cantwell,"",""
RepSamFarr,official,CA,d,House Representative,Sam,Farr,"",""
RepPeterDeFazio,official,OR,d,House Representative,Peter,DeFazio,,
RepSchrader,official,OR,d,House Representative,Kurt,Schrader,,
DorisMatsui,official,CA,d,House Representative,Doris,Matsui,"",""
RepMikeTurner,official,OH,r,House Representative,Mike,Turner,,
RepShimkus,official,IL,r,House Representative,John,Shimkus,"",""
RepBoustany,official,LA,r,House Representative,Charles,Boustany,,
KellyAyotte,campaign,NH,r,Senator,Kelly,Ayotte,"",""
Erik_Paulsen,campaign,MN,r,House Representative,Erik,Paulsen,"",""
MaryBonoUSA,campaign,CA,r,House Representative,Mary,Mack,Bono,""
RepTimMurphy,official,PA,r,House Representative,Tim,Murphy,,
SenatorSessions,official,AL,r,Senator,Jeff,Sessions,"",""
RepMikeRogersAL,official,AL,r,House Representative,Mike,Rogers,"",""
repmccarthyny,official,NY,d,House Representative,Carolyn,McCarthy,"",""
JohnDingell,official,MI,d,House Representative,John,Dingell,"",""
AustinScottGA08,official,GA,r,House Representative,Austin,Scott,"",""
